Text,label
Ywgrl,0
,0
Femboy,0
,0
Look at my T-shirt (chest) Look at the T-shirt and buy it to make it cuter like me (*≧з≦) ❤️❤️🥵🥵            +                                                             It's a little difficult to get a friend request due to personal problems.... so I'll only accept some of them.. sorry :< (I am just an informant who reveals T-shirts and groups that you will like :p),1
I don't got no type bad b###### is the only thing that I like,1
,0
dc-2lilico (° ܸ.ˬ.°) no studio!!,1
UwU,0
,0
,0
Simple,0
"Creadora de contenido
T-T sleepiebunny1",0
,0
"stop taking my fits idk u
Follow or 🙅‍♀️",1
"Hey u know this song:)
Haven…..
When I held you again
We Just be friends?
I would rather die
The let you go
Juliet to your Romeo
How I heard you say
I would never
Fall in love again
Unlit I found her
I said I would never fall 
Unless it’s you i fall into",1
"“Brilho próprio, alma rara ✨ — Lady Angel Original 💅

meus. bebês Yuri💚 Jéssica💓  

Dona da equipe: lobo Alpha 🐺 

🔥frente recrutadora de Manaus🇨🇿
🤑Sócia de Paris🇫🇷
desse:lady_angel12",1
busy,0
sometimes inactive,0
eh?,0
,0
"blue: renee1lover
19, i do studio and i do play games :3
i miss the forest..",1
🍃,0
Mein bester Freund gestorben in Real life. Es ist extrem traurig ich vermisse ihn.😭 am 13 bin ich,0
controller or pencil and hello or vase or book,0
,0
Mobile user just in case ur wondering :33,0
,0
"𝐈𝐧𝐚𝐜𝐭𝐢𝐯𝐞.

𝙵𝙾𝙻𝙻𝙾𝚆 𝙼𝙴. ♠︎",1
😚     🥺                                                                                               ✂️     ✂️      busy freakazoid😭,1
big bunda,0
"Hey im Rose!
if I dont answer its cuz im doing something so pls dont spam
ask for blue!
Owned by Ethan <3",1
,0
"Hai :3 Welcome to my pfp!!!

I usually add females 

I don't like random friend req from males or men so don't try to send me a friend.

Have a nice day<3",1
"mbah!
19 hkk mvy kpzjvyk
Mvssvd pm fvb dhuuh nla hjjlwalk <3",1
"itss not my mainn

top :p",1
,0
Ya no puedo jugar cositas rikas porque me banean :(,0
outfit on main acc,0
"Just for her :3 💖patootie💖
UNxjb",1
hi <3 xeurcovixs,1
[ Content Deleted ],0
my nqme is alexandra but call me uwu or sigma for short😍😍😍😍,0
"Hi, I'm a little shy but I would love to be your friend <3",0
"Hewo 💗

You can call me puppy, a cute little blonde white puppy…🐶

I am very shy, sweet and cute little female yorkie puppy with a pink bow on top.. :3

I get very shy, scared or loved depending on how people are very gentle or rough to me

I dyed my hair into a different color, because my favourite color is pink, duh~ :3

Like puppies, and kitties. Even the little bunnies.

Bi 💙💜💖

I barely play Roblox or get on… 

No studio yet…

You can still follow me",1
I love Robux😳,0
XfojI,0
,0
Siganme ✅️                                                         Follow me ✅️,1
,0
,0
"Doy y recibo 

Tengo Studio
valeryxz 💿",1
letss Vc  ♠️ male,1
,0
heheh..,0
nenita,0
"blue: die2n1ght

(( NO STUDIO ))

check out my FGC Clothing Group! https://www.roblox.com/communities/8147373/Rainha-tigre#!/store",1
,0
"dolli0042, buy me robux :3 NO CHAT",1
"haii
follow to add :3

im a boy >///<",1
don't copy my avatars ❌,0
,0
[ Content Deleted ],0
"❤️🍫  


Español | Studio 

d: marcos_mstaff",1
"bi
pc/ mobile",1
"studio
follow if you a real1
more interesting you are the more likely ill add you
msg when you add me or get unfriended
the bigger the better❤️",1
"char in studios ^^
studios ONLY <3
❄️🐇
lvl 18 :3
English but Mainly spanish :p
Switchhh
i like futas to <3",1
ekleşelimm,0
,0
,0
Alt. Packing 130.,0
💗🎀,0
,0
soy de sara,0
cant chat out of game or add people,1
"<3
invitame a studio | invite me to studio
donenme pls :( para mas atributos",1
bigger than these dudes.,0
,0
"Fluffy, hung.   🔵fluffyfvrry",1
,0
,0
yk what im here for!,0
..,0
Spoil me 🤍,0
Not a weird and idk them,0
(SOLO ESP),0
"mi espos : Liss ❤️🥰💍 
Es hermosa, adorable 
Desde que la conocí me sentí feliz con ella y espero que siga así  uwu ❤️💍",1
,0
##################################################################,0
MDNI,0
"men, if you want to get connections, read here https://www.roblox.com/users/9895392322/profile
💿 yuki_i123
 mutually follow to connect
  dont play in the studio






 

nope:P",1
"This account is mainly Inactive, I only rarely go on roblox to check something out.",1
,0
:3,0
Hung.,0
"Forever and always
Yo gurt Gurt: Sybau 
Ask for the blue",0
"I don't know what to put here. 



























hehe silli",1
"Sim, eu jogo CookieRun kingdom 
 
As vezes as pessoas vão te julgar pelo tipo de skin que você usa e o tipo de jogo que você jogar.

Sou homem.",0
feeling broken </3,0
"‘ i heart nora,
wlw + wlm
‘ rps + rp games,
- a :3",1
,0
Enjoy live while u can,0
"she/her

Ask for 🔵",1
✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✞︎✔︎,0
😸,0
Sou patético como sempre...,0
,0
"vaiaox234acc
Please do not try to communicate with this account",1
,0
,0
,0
,0
"I am albanian and my albanian name is Tuana short name: tunki, tana🫶🏽❤️",0
🇧🇷,0
,0
,0
,0
"Forever and always
Yo gurt Gurt: Sybau 
Ask for the blue",0
I need a break,0
"helloooo im Sky ^-^

just want some friends to hangout with thats all :3

studio...?",0
muhahaha,0
"dispuesta a todo~
bi
Si me ven en línea invitenme a jugar, siempre disponible~",0
"yuzz or nuzz
#1 lana del rey fan
<3",1
add me and text me on cord ”onlygabriella.” (with the dot) playing with people that follow and texts me 18+ (NO POINT IN ADDING ME IF UR NOT FOLLOWED),1
,0
It was nice to meet yall guys ^w^,0
,0
she/her | tag: ask,1
"malaysian chinese 🇲🇾
︶⊹︶︶୨୧︶︶⊹︶
blue: rifleorca",1
"17 - tgirl
generally limitless except for a few things",1
"Bio in following
If you see me online please hmu
Im at your command :3",1
solo hablo español no inglés y no juego competitivo 😿,0
,0
I destroy tiny things and claim them,0
;-;,0
,0
,0
,0
,0
Nah,0
Adrenaline runs through all of our veins .,0
Hiii,0
"can't do studio 💔
ask for the blue

(mobile only)",1
"You can add me to your friend is ok ♡´･ᴗ･`♡

I am wearing a cosplay as Roblox (*´∀`*)

I am fan with 6arelyhuman and Sonic and Pucca and Ed Edd n Eddy and Left 4 dead 2 & Spookiz and some cute avater.
That is it brb:3",1
"| Just someone who’s into battlegrounds games (even though I'm not good at it) and anime ✨
| Not always online, but always down for fun when I am 🔥
| I don’t judge people by how they look — everyone is equal ❤️
| And nope, I don’t do Studio — So don’t go around asking if I do Studio 🗿
                        - I ABSOLUTELY DO NOT PLAY CONS, SO DON'T ASK ME -",1
zipper frog cloud eagle net,0
Hey I am sleepy my dc: is sleepypumpkin0476 I like pizza and Nutella that’s all. Make blocks fruits great again… huh you still here well we’ll we’ll roses are red violets are blue enough is enough give me your phone you dame fool go to bed you 🥀,0
Another day Another Hellish day,0
"Diana 19 

Games only.",1
I don't know what to put here-,0
,0
,0
"19
Best Pal: https://www.roblox.com/users/125245243/profile
Dc: GuyInASuit
If I randomly friended you it's because I probably thought your avatar was neat.
If I've unfriended you just add me back, I clean my list sometimes.

If you want to message me then add me on the other thing, I don't check Roblox chat too often",1
,0
Shota at your service,0
anime sucks wehboos,0
"silly 5’11 goober
literate
PLEASE read my bio in following
wallets welcome!",1
"Here And There
I am back from termination!!

Well sorry for big ban.",0
"♠Blackend♠
-Porfile no oficial
-Bunny
-Español
-M=Free
-H-Real=$$$",1
"Jack-O’ Guilty Gear


ujlcQ
💿president_jack_o",1
Add my other account: User_018230,1
"For the boys and the girlies ;)
no disc dont ask
Studio and con
MDNI",1
,0
MAKE HELL HOT FOR 'EM🗣️🔥🔥,0
pls goat,0
"don't add me if you don't have money, blue :amberlee0389 I don't do studio.",1
"Just a normal furry who likes to befriend people and socialize with :3

He/him 🏳️‍🌈

I love music, literally I love it down to my life! <3

Favorite furry music artist: Yonkagor, Kennyoung, Scratch21~🎶

Favorite bands: Greenday, Blink-182, Air supply, Three doors down, The Beatles, All time low, Simple plan, The network, Sekai No Owari, Owl city and many more >w<!

I love Bad2Bad franchise of Dawinstone games >~<

Blue app: nova_nitch",1
"idk, i like foxes
i may be stupid sometimes",0
"Femboy, kawaii e fofinhu UwU",0
"Taken by my wifey, xlo.wolf is my dis",1
hamborgo nomnom,0
=^• •^=,0
bad apples away fruit sides it fruits time,0
17.,0
